flat_id,room_cnt,address,metro,price,region,Парковка,Тип дома,Вид из окон,Тип перекрытий,Жилая площадь,Год постройки,Балкон/лоджия,Отопление,Общая площадь,Подъезды,Санузел,Высота потолков,Тип жилья,Ремонт,Строительная серия,Аварийность,Мусоропровод,Количество лифтов,Площадь кухни,Газоснабжение,Отделка
288074881,4,"Московская область,Мытищи,мкр. 10,ул. Терешковой,21/1","Медведково,Бабушкинская,Свиблово",9600000,4593,,Панельный,Во двор,Железобетонные,50,1973,1 балкон,Центральное,68,4,1 раздельный,"2,55 м",Вторичка,Косметический,,Нет,Да,1 пассажирский,"6,5",Центральное,
286157760,1,"Москва,НАО (Новомосковский),Филимонковское поселение,Середневский Лес жилой комплекс,3.2","Филатов Луг,Новопеределкино,Прокшино",7355952,1,Открытая,Панельный,,,"10,2",,,,"34,5",,1 совмещенный,"2,65 м",Новостройка,,,,,"1 пассажирский, 1 грузовой",17,,Чистовая
290649928,6,"Москва,СВАО,р-н Алексеевский,Новоалексеевская ул.,16К5","Алексеевская,ВДНХ,Рижская",89216022,1,Подземная,Монолитно-кирпичный,,,"96,6",,,,"171,7",,,"3,25 м",Новостройка,,,,,1 грузовой,"15,2",,Черновая
289509909,2,"Москва,НАО (Новомосковский),Сосенское поселение,№ 82 квартал","Прокшино,Филатов Луг,Ольховая",11945670,1,,Монолитно-кирпичный,,,,,,,"58,3",,,"2,7 м",Новостройка,,,,,,,,Неизвестно
283854980,3,"Московская область,Пушкино,мкр. Мамонтовка,Школьная ул.,28к1","Медведково,Бабушкинская,Алтуфьево",8006508,1,Подземная,Монолитно-кирпичный,,,,,,,"61,45",,,"2,7 м",Новостройка,,,,,1 грузовой,,,Чистовая
288908862,4,"Москва,ЦАО,р-н Мещанский,Протопоповский пер.,10","Проспект Мира,Сухаревская",378846800,1,,Монолитный,,Железобетонные,,2005,,Центральное,250,1,3 совмещенных,"3,5 м",Вторичка,Дизайнерский,Индивидуальный проект,Нет,,,,,
283843746,2,"Москва,ЦАО,р-н Арбат,ул. Арбат,38с2","Смоленская,Арбатская,Кропоткинская",65000000,1,,,,,60,,,,95,,2 совмещенных,,Вторичка,Дизайнерский,,,,,10,,
291810457,4,"Московская область,Егорьевск,6-й микрорайон,27",,8000000,4593,Наземная,Панельный,,Железобетонные,"75,6",1993,"1 лоджия, 1 балкон",Центральное,"103,9",5,1 раздельный,"2,57 м",Вторичка,Косметический,Индивидуальный проект,Нет,Да,1 пассажирский,"7,8",Центральное,
286086388,2,"Москва,НАО (Новомосковский),Коммунарка поселок,ул. Бачуринская,9Ак2","Ольховая,Коммунарка",14900000,1,Подземная,Монолитный,На улицу и двор,Железобетонные,"16,1",2020,,Центральное,"52,8",1,2 совмещенных,"2,8 м",Вторичка,Дизайнерский,Индивидуальный проект,Нет,Нет,,"20,8",,
290347539,4,"Москва,НАО (Новомосковский),Рязановское поселение,ул. Уточкина,4","Силикатная,Остафьево,Щербинка",13895714,1,Открытая,Монолитный,,,"50,5",,,,"75,8",,2 совмещенных,"2,8 м",Новостройка,,,,,"1 пассажирский, 1 грузовой","6,8",,Чистовая
289486061,5,"Москва,ЦАО,р-н Мещанский,Варсонофьевский пер.,6",Кузнецкий мост,142067550,1,,Кирпичный,Во двор,Железобетонные,126,1896,1 балкон,Центральное,223,2,3 совмещенных,,Вторичка,Дизайнерский,Индивидуальный проект,Нет,,"1 пассажирский, 1 грузовой",18,,
289435657,4,"Московская область,Одинцовский городской округ,Лайково село,Город-событие Лайково жилой комплекс,Лайково Парк квартал,68","Одинцово,Баковка,Сколково",14999999,1,Наземная,Монолитный,На улицу и двор,,"59,2",,1 лоджия,,"107,1",,"1 совмещенный, 2 раздельных","2,85 м",Вторичка,Без ремонта,,,Нет,1 грузовой,"24,1",,
280647840,3,"Москва,САО,р-н Хорошевский,ул. Зорге,6к1",Полежаевская,30700000,1,,,Во двор,Нет информации,"48,7",1956,,Центральное,"75,3",1,1 раздельный,3 м,Вторичка,Дизайнерский,Индивидуальный проект,Нет,,1 пассажирский,10,,
284984733,2,"Москва,ЮАО,р-н Даниловский,Автозаводская ул.,24К1","Тульская,ЗИЛ,Автозаводская",22604780,1,Подземная,Монолитно-кирпичный,Во двор,,,,,,"55,54",,,3 м,Новостройка Апартаменты,,,,,"2 пассажирских, 1 грузовой",,,Чистовая
286431693,4,"Московская область,Ленинский городской округ,Сапроново деревня,1-й Донской жилой комплекс","Домодедовская,Зябликово,Красногвардейская",14466470,4593,Подземная,Панельный,,,"61,3",,,,"99,7",,,"3,34 м",Новостройка,,,,,"1 пассажирский, 1 грузовой","14,2",,Предчистовая
278927130,5,"Москва,ЦАО,р-н Хамовники,ул. Ефремова,19к1","Спортивная,Лужники,Фрунзенская",400000000,1,,Монолитный,Во двор,Железобетонные,,2015,,Индивидуальный тепловой пункт,202,3,,"3,2 м",Вторичка,Дизайнерский,Индивидуальный проект,Нет,,,,,
291063831,1,"Москва,ЮВАО,р-н Люблино,Тихая ул.,18С1","Волжская,Печатники,Люблино",6695000,1,Наземная,Кирпичный,,,11,,,,19,,1 совмещенный,,Вторичка Апартаменты,Евроремонт,,,,1 пассажирский,3,,
269735965,6,"Москва,ЗАО,р-н Раменки,Воробьевское ш.,4","Лужники,Спортивная,Студенческая",820203322,1,Подземная,Монолитный,На улицу и двор,Железобетонные,,2017,,Индивидуальный тепловой пункт,"594,8",3,4 раздельных,"3,5 м",Вторичка Пентхаус,Без ремонта,Индивидуальный проект,Нет,,,,,
287150327,2,"Москва,НАО (Новомосковский),Сосенское поселение,бул. Скандинавский,17",Коммунарка,9900000,1,,Монолитный,Во двор,Железобетонные,28,2022,1 лоджия,Центральное,"43,4",13,1 раздельный,,Вторичка,Без ремонта,Индивидуальный проект,Нет,,2 пассажирских,8,,
